county,reporting,yes_votes,yes_percent,no_votes,no_percent,reporting_time,download_timestamp
kings,0.0% (0 of 30) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
lake,0.0% (0 of 70) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
lassen,0.0% (0 of 57) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
los-angeles,"0.0% (0 of 2,799) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
madera,0.0% (0 of 72) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
marin,0.0% (0 of 104) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
mariposa,0.0% (0 of 25) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
mendocino,0.0% (0 of 250) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
merced,0.0% (0 of 269) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
modoc,0.0% (0 of 21) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
mono,0.0% (0 of 12) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
monterey,0.0% (0 of 188) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
napa,0.0% (0 of 191) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
nevada,0.0% (0 of 112) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
orange,"0.0% (0 of 1,801) precincts reporting",0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
placer,0.0% (0 of 265) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
plumas,0.0% (0 of 29) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
riverside,0.0% (0 of 763) precincts reporting,0,0.0,0,0.0,"September 14, 2021, 6:56 p.m.",2021-09-15T01:59:07+00:00
